window_start,latency_avg_ms,throughput_msg_s
2025-08-10T17:28:27.353366,10.15,75.85
2025-08-10T17:43:06.752706,41870.12,0.02
2025-08-10T17:54:06.273205,10.98,0.79
2025-08-10T17:58:13.973603,11.19,1.95
2025-08-10T17:59:59.868504,507.15,4.59
2025-08-10T18:17:20.996206,11.75,0.46
2025-08-10T18:32:29.947734,12.39,0.39
2025-08-10T18:42:32.828033,10.78,0.62
2025-08-10T18:42:42.839331,16.3,70.42
2025-08-10T18:42:52.844180,10.18,75.78
2025-08-10T18:43:02.848345,10.12,78.77
2025-08-10T18:43:12.855293,10.64,76.75
2025-08-10T18:43:22.859770,10.0,77.77
2025-08-10T18:43:32.872406,9.69,80.7
2025-08-10T18:43:42.878513,9.54,79.16
2025-08-10T18:43:52.888709,10.76,79.82
2025-08-10T18:44:02.890466,9.47,81.29
2025-08-10T18:44:12.897899,10.5,78.74
2025-08-10T18:44:22.903952,10.05,78.86
2025-08-10T18:44:32.912188,9.67,80.84
2025-08-10T18:44:42.922934,9.13,80.02
